prospect_no,loan_disb_date,asset_cost,disb_amt,down_payment,roi,age,is_exist_cust,dist_from_off,is_expat,children,earning_members,yrs_in_curr_resi,source_type,marital_status,gender,applicant_type,locality,accommodation_type,current_residence,veh_own,foir,tenure,vin_in_business,ltv,target,random
4726,25-01-2015,1297189,1063695,233494,19,44,0,25,0,2,3,6,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,43,180,25,82,0,0.601520465
4727,16-02-2015,1187788,938353,249435,11,59,0,4,0,2,1,12,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,48,240,20,79,0,0.981131169
4728,11-11-2015,1160482,754313,406169,18,45,0,18,0,4,2,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,37,156,23,65,0,0.100586432
4729,24-07-2015,886595,390102,496493,14,47,0,19,0,0,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,35,156,53,44,0,0.774773824
4730,09-01-2015,1279891,1177500,102391,15,47,0,19,1,1,3,6,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,45,240,24,92,0,0.558809273
4731,19-06-2015,1449845,811913,637932,12,47,0,45,0,2,2,5,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,35,96,35,56,0,0.811996899
4732,23-09-2015,1209548,774111,435437,11,49,0,31,0,4,2,4,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,50,156,33,64,0,0.95947751
4733,11-04-2015,1341804,1019771,322033,14,52,0,17,0,3,1,9,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,33,240,16,76,1,0.385259277
4734,02-05-2015,1151253,1082178,69075,10,58,0,2,1,2,3,9,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,65,120,13,94,0,0.248657039
4735,28-11-2015,1616285,1260702,355583,20,40,0,33,1,3,1,8,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,36,240,77,78,0,0.385675399
4736,15-01-2015,1471396,838696,632700,14,44,0,44,0,4,2,4,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,44,84,47,57,0,0.841017466
4737,11-01-2015,927127,723159,203968,10,48,0,13,0,3,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,204,29,78,0,0.951150565
4738,28-12-2015,1057268,761233,296035,14,48,0,8,1,2,2,4,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,49,120,19,72,1,0.569182026
4739,31-08-2015,723504,513688,209816,10,48,0,1,0,3,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,240,27,71,0,0.955593352
4740,17-08-2015,800893,536598,264295,10,47,0,61,1,2,1,2,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,51,192,14,67,0,0.710669564
4741,11-03-2015,1159969,695981,463988,10,56,1,3,0,0,3,9,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,36,60,16,60,0,0.524618646
4742,30-03-2015,1574640,850306,724334,20,36,0,44,1,1,1,8,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,36,204,78,54,0,0.626881864
4743,03-11-2015,1188468,891351,297117,11,59,0,4,1,3,1,12,direct,,Male,Co-App,Above Avg,Townhouses,Rented,1,43,240,20,75,0,0.034113633
4744,31-07-2015,1073823,848320,225503,12,52,0,3,1,2,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,52,228,9,79,0,0.240876259
4745,16-10-2015,930453,511749,418704,14,46,0,21,1,0,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,48,156,52,55,0,0.501328248
4746,11-08-2015,695201,389313,305888,14,50,0,9,1,1,1,1,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,47,192,49,56,0,0.822285263
4747,03-09-2015,322119,170723,151396,18,39,0,1,0,3,1,0,direct,Married,Male,Individual,Below Avg,Villa,Company Provided,2,41,240,69,53,0,0.962212833
4748,01-07-2015,1049151,797355,251796,12,52,0,2,0,2,3,4,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,26,96,5,76,0,0.639811048
4749,18-02-2015,976784,752124,224660,17,43,0,9,1,2,2,4,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,58,108,20,77,0,0.925828905
4750,26-05-2015,1535194,721541,813653,16,48,1,52,1,0,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,59,60,59,47,0,0.107519078
4751,08-07-2015,1271176,762706,508470,11,49,0,34,1,3,2,4,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,57,96,33,60,0,0.280340115
4752,17-08-2015,726177,566418,159759,10,47,0,1,1,2,1,2,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,54,180,76,78,0,0.397807818
4753,27-04-2015,1195150,573672,621478,11,59,1,5,1,2,4,12,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,64,60,22,48,0,0.74838767
4754,02-04-2015,1153746,565336,588410,13,44,0,28,1,4,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,57,84,45,49,0,0.449656694
4755,19-02-2015,1123329,797564,325765,12,50,0,6,1,1,3,6,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,51,240,9,71,0,0.988390645
4756,18-03-2015,1234659,1049460,185199,15,48,0,37,0,1,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,96,56,85,0,0.842352186
4757,30-05-2015,1220945,598263,622682,15,46,0,36,1,0,2,3,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,29,96,55,49,0,0.395187033
4758,13-11-2015,1245661,722483,523178,13,44,0,32,0,4,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,84,44,58,0,0.185102802
4759,22-08-2015,1526926,900886,626040,20,34,0,5,1,3,1,0,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,45,60,12,59,0,0.322969463
4760,28-06-2015,1234670,790189,444481,12,58,0,7,0,2,4,15,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,35,156,29,64,0,0.342645416
4761,02-01-2015,762120,701150,60970,10,47,0,3,1,2,1,2,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,144,27,92,0,0.972229669
4762,13-07-2015,961855,759865,201990,17,45,0,8,1,3,2,4,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,120,20,79,0,0.250441427
4763,15-07-2015,1833144,1081555,751589,16,47,0,8,1,0,2,4,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,57,156,48,59,0,0.702133456
4764,08-08-2015,710213,404821,305392,14,48,1,10,0,0,1,1,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,60,46,57,0,0.730367178
4765,21-07-2015,1456815,903225,553590,12,46,0,46,0,2,2,5,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,41,120,35,62,0,0.65295547
4766,26-09-2015,905764,624977,280787,16,44,0,5,0,3,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,63,240,19,69,0,0.910774791
4767,28-05-2015,496469,347528,148941,16,44,0,6,1,2,1,1,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,52,240,57,70,0,0.698545307
4768,04-12-2015,981359,706578,274781,12,42,1,19,0,0,1,3,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,84,42,72,0,0.831880419
4769,19-06-2015,540295,264745,275550,18,38,0,12,1,2,1,1,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,34,120,72,49,0,0.127843521
4770,03-07-2015,1297396,960073,337323,14,53,1,15,0,4,4,9,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,45,84,15,74,0,0.235098968
4771,26-02-2015,1118564,771809,346755,17,42,0,44,0,1,1,2,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,39,156,65,69,0,0.683545457
4772,26-08-2015,1548426,1161320,387106,20,36,0,66,0,1,1,8,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,240,77,75,0,0.302680201
4773,20-09-2015,1442486,952041,490445,20,44,1,32,1,3,3,7,channel,Single,Male,Co-App,Below Avg,Villa,Rented,1,41,180,28,66,0,0.614113542
4774,17-12-2015,1179616,648789,530827,11,59,0,4,0,3,4,11,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,56,84,18,55,0,0.475144925
4775,16-04-2015,1363913,941100,422813,13,42,1,38,1,0,2,4,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,44,84,47,69,0,0.398351261
4776,14-12-2015,990042,594025,396017,12,45,0,19,1,7,1,3,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,54,96,40,60,1,0.365716152
4777,18-05-2015,1744715,1343431,401284,20,33,0,1,1,3,1,0,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,1,56,228,13,77,0,0.162860269
4778,09-12-2015,1278124,587937,690187,15,46,0,39,1,0,2,3,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,54,156,56,46,0,0.789911648
4779,15-04-2015,1113948,835461,278487,10,58,0,0,0,2,3,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,240,8,75,0,0.662899945
4780,05-04-2015,1004006,692764,311242,14,46,0,5,1,0,2,4,direct,Married,Male,Individual,Below Avg,Villa,Company Provided,2,33,120,18,69,0,0.365434242
4781,21-03-2015,1158516,463406,695110,18,43,1,18,1,2,2,5,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,44,60,82,40,0,0.605943541
4782,30-06-2015,1225378,796496,428882,18,45,0,21,0,4,3,5,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,30,144,24,65,0,0.534050993
4783,28-04-2015,1886441,1169593,716848,20,29,0,37,0,2,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,56,132,16,62,0,0.241628491
4784,25-11-2015,1456867,1369455,87412,16,50,0,48,0,1,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Company Provided,2,49,156,59,94,1,0.106788835
4785,12-04-2015,1224234,612117,612117,11,58,0,6,0,2,4,14,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,180,24,50,0,0.969550536
4786,02-03-2015,1276871,855504,421367,15,50,0,19,0,3,3,6,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,44,216,24,67,0,0.1503649
4787,28-09-2015,1516384,1304090,212294,20,39,0,65,0,2,1,7,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,180,77,86,0,0.921896691
4788,27-12-2015,1277666,919920,357746,14,53,0,14,1,4,4,8,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,65,144,15,72,0,0.427430659
4789,15-08-2015,1237786,841694,396092,13,55,0,12,1,6,4,8,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,48,144,14,68,0,0.992629243
4790,01-02-2015,1174958,939966,234992,11,57,0,4,1,1,4,10,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,28,120,17,80,0,0.433437901
4791,16-12-2015,1197106,742206,454900,11,46,0,30,1,2,1,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,96,31,62,0,0.524095835
4792,05-12-2015,1493883,866452,627431,16,48,0,4,0,1,4,8,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,228,28,58,0,0.959089133
4793,23-04-2015,1165685,979175,186510,13,53,0,54,1,4,4,6,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,46,120,13,84,1,0.120143955
4794,17-08-2015,871415,662275,209140,16,44,0,3,0,2,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,51,240,18,76,0,0.302298354
4795,24-05-2015,970692,524174,446518,12,45,0,18,0,7,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,53,180,43,54,0,0.554848323
4796,25-07-2015,1054800,854388,200412,17,45,0,13,1,4,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,156,22,81,0,0.161972396
4797,28-09-2015,951041,694260,256781,19,38,0,34,1,2,1,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,96,74,73,0,0.944621557
4798,31-08-2015,1669934,1302549,367385,20,32,0,21,0,3,1,0,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,42,180,15,78,0,0.827726705
4799,22-04-2015,738946,517262,221684,10,50,0,2,0,4,1,2,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,49,180,27,70,0,0.128026166
4800,06-02-2015,1260023,781214,478809,12,56,0,8,0,1,4,17,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,120,36,62,0,0.421137854
4801,05-06-2015,1000907,450408,550499,17,41,0,37,1,1,1,2,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,54,96,65,45,0,0.689902498
4802,20-05-2015,1128449,846337,282112,19,38,0,44,1,2,1,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,46,120,75,75,0,0.42170441
4803,18-09-2015,830370,523133,307237,12,45,0,11,1,6,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,48,132,40,63,0,0.171590232
4804,16-12-2015,1716865,1030119,686746,20,24,1,34,0,1,1,0,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,41,84,9,60,0,0.911075167
4805,23-12-2015,1344432,941102,403330,14,54,0,18,1,5,4,10,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,30,156,16,70,0,0.22900822
4806,24-11-2015,686105,535162,150943,12,43,0,4,1,3,1,2,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,31,96,40,78,0,0.44181196
4807,12-05-2015,1873544,1761131,112413,20,40,0,50,0,3,1,10,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,53,132,81,94,0,0.551487037
4808,22-12-2015,1703100,1277325,425775,14,43,1,56,1,3,2,5,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,35,84,50,75,0,0.873185831
4809,14-01-2015,1102778,584472,518306,17,44,0,43,1,2,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,96,64,53,1,0.978751679
4810,02-01-2015,1195969,1076372,119597,18,45,0,20,0,4,2,5,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,45,84,24,90,1,0.225422329
4811,05-10-2015,1164499,1059694,104805,15,49,0,13,0,2,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,216,22,91,0,0.462453918
4812,13-05-2015,1554271,730507,823764,18,45,1,2,0,2,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,33,60,70,47,0,0.983166024
4813,25-06-2015,1378738,1144353,234385,14,54,0,19,0,5,4,10,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,31,144,16,83,0,0.4526465
4814,05-02-2015,1706543,1314038,392505,20,40,0,1,0,3,1,9,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,36,120,79,77,0,0.647209601
4815,19-08-2015,1812808,978916,833892,16,47,0,5,1,0,2,4,channel,,Male,Individual,Below Avg,Apartment,Owned,2,31,228,62,54,0,0.028586096
4816,06-10-2015,1355220,1084176,271044,16,47,1,23,0,0,4,7,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,54,120,25,80,1,0.971098743
4817,30-05-2015,851275,646969,204306,16,44,0,2,1,3,2,3,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,48,156,18,76,0,0.853977416
4818,11-07-2015,1491099,849926,641173,14,42,0,45,0,0,2,4,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,44,84,46,57,0,0.567598007
4819,05-01-2015,1149637,517337,632300,15,47,1,12,1,1,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,53,84,84,45,0,0.471643404
4820,01-06-2015,1247607,761040,486567,12,60,0,8,1,3,1,16,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,31,120,32,61,0,0.782084065
4821,17-11-2015,1773443,993128,780315,14,43,0,59,0,2,2,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,49,144,50,56,0,0.965463899
4822,13-01-2015,1223052,1161899,61153,13,50,1,11,0,0,4,7,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,38,60,14,95,0,0.886222414
4823,21-01-2015,1457149,757717,699432,20,21,0,37,0,1,1,0,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,45,156,11,52,0,0.923615316
4824,26-12-2015,404342,210258,194084,18,27,0,6,0,2,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,46,144,80,52,0,0.97992812
4825,07-07-2015,1273845,713353,560492,12,55,0,9,0,0,4,18,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,96,41,56,0,0.141282407
4826,15-07-2015,1231925,1108733,123192,11,55,0,7,1,0,4,15,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,48,180,29,90,0,0.251081604
4827,08-10-2015,1550637,1240510,310127,20,43,0,9,0,1,3,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,96,32,80,1,0.056361843
4828,20-09-2015,669331,394905,274426,18,33,1,21,1,3,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,36,84,82,59,0,0.908647681
4829,31-12-2015,960263,816224,144039,17,43,0,8,0,2,2,4,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,54,96,20,85,0,0.978677925
4830,05-11-2015,807990,428235,379755,16,43,0,25,1,1,1,1,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,144,64,53,0,0.800253424
4831,16-08-2015,1170304,772401,397903,15,50,0,13,1,3,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,53,216,22,66,0,0.463387785
4832,12-03-2015,1777554,1688676,88878,16,46,0,64,1,0,2,4,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,59,144,62,95,0,0.98357724
4833,01-10-2015,1616605,1131624,484981,16,46,0,56,0,0,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,53,120,58,70,0,0.817665013
4834,03-11-2015,1741754,1166975,574779,20,38,0,5,0,2,1,9,channel,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,46,120,79,67,0,0.324726021
4835,04-09-2015,1035461,755887,279574,12,50,0,1,0,0,3,4,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,31,240,3,73,0,0.722666644
4836,21-04-2015,878013,597049,280964,16,43,0,3,1,1,2,3,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,46,240,19,68,0,0.499060798
4837,28-03-2015,1231674,702054,529620,13,42,1,32,0,0,2,4,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,58,72,44,57,0,0.174677515
4838,03-08-2015,1346790,1063964,282826,14,54,0,18,1,5,1,10,direct,,Male,Individual,Middle Class,Apartment,Owned,2,45,120,16,79,0,0.024552875
4839,15-03-2015,760341,380171,380170,14,48,0,13,0,1,1,1,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,49,132,52,50,0,0.29554013
4840,31-10-2015,1290067,1225564,64503,15,50,0,40,1,1,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,96,56,95,0,0.44534911
4841,18-06-2015,1790814,1199845,590969,16,50,0,,0,1,2,4,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,48,132,61,67,1,0.678731809
4842,22-03-2015,1190144,856904,333240,13,54,0,9,1,5,4,7,direct,,Male,Individual,Below Avg,Villa,Rented,2,44,144,13,72,0,0.020925656
4843,09-08-2015,736983,434820,302163,16,44,0,20,0,2,1,1,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,43,132,48,59,0,0.723160702
4844,23-08-2015,829254,422920,406334,18,37,0,28,0,1,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,37,192,32,51,0,0.241690813
4845,15-04-2015,629955,485065,144890,18,27,0,19,1,2,1,0,direct,,Male,Individual,Middle Class,Apartment,Owned,2,58,132,83,77,0,0.04421929
4846,08-02-2015,1383742,871757,511985,12,49,0,41,1,4,2,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,35,120,35,63,0,0.459366661
4847,12-05-2015,1054368,579902,474466,19,28,0,44,1,2,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,39,156,6,55,0,0.566729911
4848,13-06-2015,1419651,752415,667236,12,50,0,43,1,4,2,5,channel,Single,Male,Co-App,Below Avg,Villa,Rented,1,46,96,35,53,0,0.134651892
4849,30-10-2015,1299049,779429,519620,11,48,0,36,1,3,2,4,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,28,96,34,60,0,0.275661227
4850,22-09-2015,835076,601255,233821,16,45,1,1,1,4,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,60,18,72,0,0.114670656
4851,07-09-2015,1087029,521774,565255,15,48,0,29,1,1,1,2,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,59,180,55,48,0,0.624312936
4852,14-02-2015,316216,189730,126486,18,32,0,0,0,3,1,0,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,45,180,80,60,0,0.95099338
4853,13-09-2015,1162824,662810,500014,10,55,1,3,0,0,3,10,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,35,60,16,57,0,0.924067996
4854,21-04-2015,1322048,661024,661024,13,42,1,36,1,0,2,4,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,41,84,47,50,0,0.2435675
4855,21-03-2015,1244526,1169854,74672,18,43,0,22,1,1,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,42,216,25,94,0,0.722159589
4856,06-03-2015,1187033,498554,688479,15,48,0,34,1,0,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,84,55,42,0,0.259527816
4857,14-12-2015,1716064,995317,720747,20,28,1,37,1,2,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,84,6,58,0,0.478790576
4858,28-07-2015,950268,513145,437123,19,37,0,,0,2,1,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,56,108,74,54,0,0.666131359
4859,30-01-2015,1117956,749031,368925,15,46,0,11,1,0,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,55,132,21,67,0,0.363531997
4860,21-09-2015,668053,313985,354068,16,43,0,16,1,1,1,1,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,216,60,47,0,0.326000374
4861,26-03-2015,1148525,792482,356043,10,58,0,2,0,2,3,8,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,56,156,13,69,0,0.917740845
4862,21-10-2015,1273526,738645,534881,12,59,0,9,1,2,1,18,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,55,120,41,58,0,0.170704736
4863,25-06-2015,1379850,841709,538141,12,49,0,41,1,3,2,5,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,35,120,36,61,0,0.313416754
4864,04-06-2015,1633344,767672,865672,20,20,0,30,0,1,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,228,11,47,0,0.817023973
4865,08-11-2015,1457696,801733,655963,18,43,1,65,1,1,1,3,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,39,60,67,55,0,0.977659141
4866,16-04-2015,1557913,997064,560849,20,43,0,3,1,1,3,7,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,54,180,31,64,0,0.385386694
4867,21-01-2015,1314424,959530,354894,19,31,0,60,1,3,1,0,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,52,156,12,73,0,0.166996111
4868,21-02-2015,1194501,728646,465855,11,48,0,30,0,3,1,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,120,31,61,0,0.214107743
4869,03-06-2015,1793331,824932,968399,20,23,0,,1,1,1,0,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,45,180,12,46,0,0.69284004
4870,26-10-2015,1596015,782047,813968,20,45,0,40,1,4,3,7,channel,,Male,Individual,Middle Class,Apartment,Owned,2,35,120,74,49,0,0.039523827
4871,04-07-2015,1574623,850296,724327,20,39,0,43,0,3,1,8,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,204,78,54,0,0.231504054
4872,14-08-2015,1045358,784019,261339,14,50,0,7,1,3,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,120,19,75,0,0.442516226
4873,31-01-2015,1368423,1217896,150527,12,47,0,40,1,2,2,5,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,31,120,35,89,0,0.085219203
4874,07-01-2015,1263070,1073610,189460,17,42,0,53,1,1,1,2,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,52,84,66,85,1,0.579983059
4875,20-02-2015,1634714,1029870,604844,18,42,0,4,0,1,1,3,channel,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,55,180,70,63,0,0.903227123
4876,12-12-2015,703884,471602,232282,10,49,0,0,1,3,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,37,180,27,67,0,0.324908204
4877,27-09-2015,1106438,508961,597477,10,56,1,0,1,0,3,5,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,56,96,0,46,0,0.964024881
4878,06-09-2015,1274893,803183,471710,13,45,1,34,1,6,2,4,channel,Married,Male,Individual,Below Avg,Apartment,Owned,2,43,84,44,63,0,0.661282331
4879,29-08-2015,1340751,898303,442448,16,47,1,22,1,1,4,7,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,46,240,25,67,0,0.136082963
4880,01-04-2015,1280871,986271,294600,14,52,0,14,1,2,1,8,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,120,15,77,0,0.240626463
4881,08-05-2015,317839,289233,28606,18,40,0,0,1,3,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,35,180,36,91,0,0.930107094
4882,28-01-2015,1381374,1298492,82882,15,48,1,44,0,0,2,3,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,39,72,57,94,0,0.707699441
4883,27-07-2015,1274559,866700,407859,15,48,0,19,0,1,3,6,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,41,240,24,68,0,0.632520651
4884,06-07-2015,412205,197858,214347,16,44,1,0,1,2,1,1,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,36,60,57,48,0,0.143917065
4885,10-06-2015,1220915,1098824,122091,11,57,0,6,0,1,4,14,channel,Married,Male,Individual,Middle Class,Apartment,Rented,2,43,180,26,90,0,0.602625901
4886,24-08-2015,953092,886376,66716,14,48,0,2,0,1,2,3,channel,Single,Female,Individual,Above Avg,Townhouses,Relatives,1,64,96,17,93,0,0.436406241
4887,18-11-2015,456684,200941,255743,18,39,0,8,1,3,1,1,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,45,216,71,44,0,0.355095934
4888,26-07-2015,1397025,949977,447048,14,52,0,20,0,3,4,10,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,156,16,68,0,0.896162029
4889,03-09-2015,870909,513836,357073,12,45,1,13,1,7,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,84,42,59,0,0.416628091
4890,20-11-2015,1177358,1059622,117736,11,58,0,4,0,2,1,11,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,54,240,17,90,0,0.949190274
4891,11-12-2015,602323,451742,150581,18,40,0,16,1,3,1,1,channel,,Male,Individual,Below Avg,Apartment,Owned,2,43,240,71,75,0,0.038881179
4892,14-01-2015,1183614,497118,686496,17,44,1,48,1,2,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,60,41,42,0,0.107627205
4893,03-12-2015,1257240,842351,414889,18,45,0,23,0,4,3,5,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,46,180,25,67,0,0.787588926
